url,location
vertigo-tech.com/,"[51.9933333, 4.3869444]"
www.balancedeau.nl/,"[-1, -1]"
omniyou.nl,"[52.000051, 4.3550867]"
www.buhashop.com/,"[52.012729, 4.359017]"
www.biosphere.solar,"[-1, -1]"
www.medivacature.nl,"[52.0110265, 4.3604558]"
www.ictkring-delft.nl,"[52.0085321, 4.3599843]"
polytential.eu/,"[51.9934806, 4.387112399999999]"
https://sa-asimov.nl/,"[52.0011883, 4.3726071]"
guama.nl/,"[-1, -1]"
prosper-it.nl,"[52.01157689999999, 4.3570677]"
www.nuonsolarteam.nl/,"[51.9877076, 4.3732893]"
www.nowi-energy.com,"[51.9930181, 4.3858242]"
www.sceneryenzo.nl/,"[52.0063504, 4.3527379]"
www.gittalou.com/,"[52.01133489999999, 4.363053799999999]"
joaairsolutions.com,"[51.9972436, 4.3832914]"
www.harddisk-recovery.nl,"[51.9971933, 4.3821628]"
socialinnovation-europe.com/,"[51.9933333, 4.3869444]"
www.nen.nl,"[51.9884976, 4.362073]"
vizeno.nl/,"[-1, -1]"
www.senseglove.com,"[51.9933978, 4.386851099999999]"
www.windchallenge.com,"[-1, -1]"
caricecars.com/en/,"[52.2410085, 4.4985827]"
www.sentimention.com,"[51.9883156, 4.3609593]"
nmi.nl/,"[51.9866349, 4.3861718]"
www.perclass.com/,"[51.99107309999999, 4.3891477]"
we4sea.com/,"[51.9233492, 4.4689952]"
standoutnow.nl/,"[51.9960057, 4.3696579]"
www.kitepower.nl,"[51.9952189, 4.3648123]"
www.pan4gold.nl,"[-1, -1]"
https://www.exact.com/nl,"[51.990264, 4.389788999999999]"
gilotechnologies.com/,"[-1, -1]"
www.applikon-bio.com/en/,"[51.98684830000001, 4.377741299999999]"
www.vormbizz.nl/,"[52.0029266, 4.3430807]"
reefy.nl/,"[-1, -1]"
www.giv-it.nl,"[52.0066161, 4.3597389]"
www.mapperlithography.com,"[51.9982081, 4.3813292]"
www.airtrotter.com,"[52.0101382, 4.375174599999999]"
www.triquanta.nl/,"[52.0104153, 4.3585926]"
clevr.net/,"[51.9934806, 4.387112399999999]"
http://www.hcinnovations.nl/,"[52.1631057, 4.4760939]"
https://actiflow.com/,"[52.0122116, 4.3567871]"
solarswing.com/,"[51.9938289, 4.3873524]"
9signals.com,"[52.012372, 4.353133199999999]"
massence.com,"[52.0118515, 4.3579232]"
https://www.isispace.nl/,"[51.9893469, 4.362981899999999]"
https://gtm-as.com/,"[52.043065, 4.355509]"
www.pixlbar.com,"[52.00647530000001, 4.3616319]"
https://www.atmosuav.com/,"[51.9933333, 4.3869444]"
www.anteverta-mw.com/,"[51.4140836, 5.458589]"
www.dab.bio,"[52.0154815, 4.3389072]"
www.dlserv.nl/,"[51.9928105, 4.3850773]"
www.artefact.nl,"[52.0154816, 4.3595727]"
bexter.nl/,"[52.0000614, 4.3550537]"
vortech.nl,"[52.0025497, 4.3535353]"
peeeks.energy/,"[51.9252166, 4.478866399999999]"
www.sportinnova.nl,"[-1, -1]"
projectonderdelen.nl/,"[-1, -1]"
www.agium.nl/,"[51.9969002, 4.3822087]"
memoryzer.com,"[52.0124626, 4.3594503]"
www.phosphoenix.nl/,"[52.0110799, 4.3544436]"
www.cropzoomer.farm/,"[52.0021919, 4.3735766]"
https://ale.nl/,"[51.987045, 4.3688125]"
www.qdelft.nl,"[52.0077787, 4.3674251]"
woohoodesign.nl/,"[52.01128869999999, 4.3299147]"
www.ict-services.nl,"[51.9904075, 4.373549500000001]"
www.awebsolution.nl/,"[51.9941089, 4.3592657]"
www.faqtory.nl/,"[52.0084443, 4.3602569]"
www.bosstudelft.nl,"[52.0054498, 4.3698643]"
www.bioclin.com/,"[51.9979163, 4.3856156]"
www.uhuw.nl,"[51.9876592, 4.376999]"
dewoodstok.nl,"[52.0073261, 4.3564129]"
www.conceptsthatmatter.com,"[52.0107928, 4.3579143]"
www.spectralindustries.com/,"[51.99515969999999, 4.3672984]"
pinewood.nl/,"[51.9972388, 4.3841281]"
www.imsystems.nl,"[52.034095, 4.3462247]"
secrethub.io,"[51.9930141, 4.3857629]"
www.operationair.org/,"[51.98990939999999, 4.3753215]"
www.goedemiddag.nl,"[52.0130636, 4.3546829]"
www.mapiq.com/,"[52.0200651, 4.351446]"
www.ampelmann.nl/,"[51.9902913, 4.3736008]"
www.ebusinesspro.nl/,"[52.003043, 4.342905]"
www.t4design.nl/,"[51.9795062, 4.350252]"
www.mtb3d.com/,"[-1, -1]"
www.safetychanger.com,"[51.9252166, 4.478866399999999]"
www.xvrsim.com/,"[52.0027853, 4.354036499999999]"
www.mythronics.com,"[51.9934806, 4.387112399999999]"
www.disdro.com,"[51.9964398, 4.3535056]"
www.nashinvestment.com/,"[52.0073261, 4.3564129]"
www.dewarmte.nl/,"[51.9934806, 4.387112399999999]"
www.sparksheet.io,"[52.0073261, 4.3564129]"
www.sporebi.com,"[52.1308097, 4.4624975]"
https://www.inholland.nl/,"[52.0001973, 4.368856399999999]"
imounts.nl/,"[51.99871599999999, 4.3543649]"
https://www.t-minus.nl/,"[51.993398, 4.386851]"
www.isispace.nl,"[51.9893469, 4.362981899999999]"
www.it4hire.nl,"[52.0104335, 4.3586539]"
www.zeroemissionfuels.com/,"[52.0073261, 4.3564129]"
www.mobycon.nl,"[52.0045809, 4.3599744]"
www.juliasbags.nl,"[52.0110162, 4.358865499999999]"
fairzekering.nl/,"[51.9864653, 4.3457019]"
www.shake-on.com/,"[52.0104467, 4.3607736]"
it4success.nl/,"[52.0258671, 4.356980099999999]"
www.teinstruments.com/,"[51.9826105, 4.3745078]"
drukkerpro.nl/,"[52.000051, 4.3550867]"
www.teamers.nl,"[52.0071695, 4.3608088]"
www.un-ihe.org,"[52.0089365, 4.3566444]"
www.plankenkoorts.com/,"[51.9965949, 4.3720159]"
www.webbende.nl/,"[52.0025406, 4.3571422]"
www.e-looks.nl/,"[52.0067251, 4.3603157]"
https://ch.tudelft.nl/,"[51.9986784, 4.3730555]"
www.exo-l.com,"[51.9319644, 4.539745]"
indruk-lasersnijden.nl/,"[52.0212314, 4.3490878]"
www.dentalrobotics.nl/,"[51.9833226, 4.372699600000001]"
www.conferencecompass.com/,"[52.0739379, 4.334913999999999]"
www.pluton.nl,"[52.0021919, 4.3735766]"
officevitae.com,"[51.9933333, 4.3869444]"
www.dc-hive.com/,"[51.9934806, 4.387112399999999]"
www.jetcamp.com,"[51.9875137, 4.377083799999999]"
www.tdvg.nl,"[51.99377990000001, 4.3871185]"
www.barcelonete.com,"[52.0108605, 4.358571299999999]"
geschenkenlaantje.eu/,"[51.984628, 4.37269]"
http://www.taniq.com/,"[51.9402817, 4.404222799999999]"
www.ogd.nl,"[51.9904075, 4.373549500000001]"
kalibra.nl/,"[51.9972304, 4.3828933]"
paramander.com,"[51.9952806, 4.3534353]"
blulocks.com,"[52.0118771, 4.3581889]"
www.element.nl,"[51.9971316, 4.3821028]"
https://www.airborne.com/,"[51.9952189, 4.3648123]"
www.dynamic-ear.com/,"[51.99691079999999, 4.3822027]"
https://www.innosysdelft.com/,"[52.0118613, 4.3718986]"
www.ikea.com/,"[52.01291399999999, 4.3816519]"
www.delightinteractive.com,"[52.0060932, 4.3589986]"
www.exact.com,"[51.990264, 4.389788999999999]"
www.laurganiq.nl/,"[52.0073261, 4.3564129]"
www.dreamsolution.nl,"[52.00458, 4.359974]"
www.dentallect.nl,"[52.01036509999999, 4.3473675]"
nutralinea.com/,"[-1, -1]"
www.delftspectech.com/,"[51.99515969999999, 4.3672984]"
kinergizer.com,"[51.9928105, 4.3850773]"
www.kempen-begeer.nl/,"[52.015474, 4.300694]"
www.topdealer.nl,"[52.0106074, 4.3617468]"
todaytomorrow.nl/,"[51.9251054, 4.4781675]"
www.supersola.com/,"[-1, -1]"
www.interweave.nl,"[52.0198204, 4.3619653]"
vanklassemode.nl/,"[51.9974202, 4.3542518]"
jiaco-instruments.com/,"[52.0014009, 4.3668872]"
www.fotobister.nl,"[52.012225, 4.358957999999999]"
sintjansbrug.nl,"[52.0094302, 4.3580112]"
www.refreshingmenus.com,"[52.01505419999999, 4.3671614]"
watermappers.com,"[52.0021919, 4.3735766]"
www.akvo.org,"[52.0089365, 4.3566444]"
www.dianafea.com,"[51.98585190000001, 4.3877016]"
www.stickerkamer.nl,"[52.01877709999999, 4.3361456]"
prosim-ar.com/,"[51.9868101, 4.375590799999999]"
www.solho.eu/,"[52.0093283, 4.364138899999999]"
flexous.com,"[51.9929128, 4.384589399999999]"
www.datreco.nl,"[51.99583879999999, 4.1958536]"
sensar.nl,"[52.01430209999999, 4.3761632]"
www.jewelsuite.com,"[51.9972436, 4.3832914]"
www.placert.com/,"[51.982128, 4.3465737]"
www.m-industries.com,"[51.9874261, 4.3770171]"
dutchincubator.nl/,"[51.9933333, 4.3869444]"
www.gobiond.com/,"[51.9931568, 4.385791999999999]"
www.mesmancommunicatie.nl/,"[51.98871090000001, 4.363129799999999]"
www.gxgate.com,"[52.0109082, 4.3683907]"
https://www.mars-one.com/,"[52.0106024, 4.358458199999999]"
www.vsl.nl,"[51.9854026, 4.388173699999999]"
www.elwave.com,"[52.0073261, 4.3564129]"
nerdalize.com/,"[51.9930422, 4.3858164]"
www.myadjuvo.com,"[-1, -1]"
www.auxilium.nl/,"[52.0125521, 4.3531013]"
veramaris.com,"[-1, -1]"
www.abelsensors.com/,"[52.0161105, 4.3527964]"
agilecockpit.com,"[52.02596, 4.35658]"
bluemesa.nl/,"[52.1298437, 4.6318599]"
zanderlabs.com/,"[51.9972749, 4.3832719]"
www.qooling.com,"[52.0902268, 4.3241856]"
